match,state,bill,status,summary,action,year,keep
13%,MD,SB852,Intro,"Requiring a ticket issuer, primary ticket sales platform, or secondary ticket exchange to implement a certain refund policy for tickets to certain entertainment events; prohibiting a ticket issuer or seller from restricting the resale, transfer, or o...",3/3/23,2023,1
13%,MD,HB795,Intro,"Requiring a ticket issuer, primary ticket sales platform, or secondary ticket exchange to implement a certain refund policy for tickets to certain entertainment events; prohibiting a ticket issuer or seller from restricting the resale, transfer, or o...",3/14/23,2023,1
35%,MI,HB5828,Intro,Consumer protection; other; sale or resale of tickets to certain entertainment events and shows; regulate. Creates new act. TIE BAR WITH: HB 5827'12,9/11/12,2012,1
35%,MI,SB1187,Intro,Consumer protection; other; sale or resale of tickets to certain entertainment events and shows; regulate. Creates new act. TIE BAR WITH: SB 1186'12,6/14/12,2012,1
17%,MI,HB5827,Intro,Consumer protection; other; Michigan penal code provision relating to certain events; exclude ticket sales under event tickets act. Amends sec. 465 of 1931 PA 328 (MCL 750.465) & adds sec. 465b. TIE BAR WITH: HB 5828'12,9/11/12,2012,1
17%,MI,SB1186,Intro,Consumer protection; other; Michigan penal code provision relating to certain events; exclude ticket sales under event tickets act. Amends sec. 465 of 1931 PA 328 (MCL 750.465) & adds sec. 465b. TIE BAR WITH: SB 1187'12,6/14/12,2012,1
35%,MI,HB5828,Intro,Consumer protection; other; sale or resale of tickets to certain entertainment events and shows; regulate. Creates new act. TIE BAR WITH: HB 5827'12,9/11/12,2012,0
35%,MI,SB1187,Intro,Consumer protection; other; sale or resale of tickets to certain entertainment events and shows; regulate. Creates new act. TIE BAR WITH: SB 1186'12,6/14/12,2012,0
17%,MI,HB5827,Intro,Consumer protection; other; Michigan penal code provision relating to certain events; exclude ticket sales under event tickets act. Amends sec. 465 of 1931 PA 328 (MCL 750.465) & adds sec. 465b. TIE BAR WITH: HB 5828'12,9/11/12,2012,0
17%,MI,SB1186,Intro,Consumer protection; other; Michigan penal code provision relating to certain events; exclude ticket sales under event tickets act. Amends sec. 465 of 1931 PA 328 (MCL 750.465) & adds sec. 465b. TIE BAR WITH: SB 1187'12,6/14/12,2012,0
17%,MN,SF2703,Intro,Event ticket sale deceptive practices prohibition,2/18/10,2010,1
14%,MN,HF2950,Intro,Deceptive practices prohibited in the sale of event tickets.,2/22/10,2010,1
36%,MN,SF425,Intro,Event ticket practices regulation,2/2/12,2012,1
36%,MN,HF657,Engross,"Event ticket practices regulated, and restrictive ticketing systems permitted.",3/28/12,2012,1
36%,MN,SF425,Intro,Event ticket practices regulation,2/2/12,2012,0
36%,MN,HF657,Engross,"Event ticket practices regulated, and restrictive ticketing systems permitted.",3/28/12,2012,0
36%,MN,SF554,Intro,Event ticket practices regulation,3/21/13,2013,1
36%,MN,HF678,Intro,"Event ticket practices regulated, and minimum standards for consumer protection established.",3/21/13,2013,1
18%,MN,SF555,Intro,Event ticket practices regulation and minimum consumer protection standards,2/21/13,2013,1
18%,MN,HF679,Intro,"Event ticket practices regulated, and minimum standards for consumer protection established.",2/25/13,2013,1
36%,MN,SF554,Intro,Event ticket practices regulation,3/21/13,2013,0
36%,MN,HF678,Intro,"Event ticket practices regulated, and minimum standards for consumer protection established.",3/21/13,2013,0
18%,MN,SF555,Intro,Event ticket practices regulation and minimum consumer protection standards,2/21/13,2013,0
18%,MN,HF679,Intro,"Event ticket practices regulated, and minimum standards for consumer protection established.",2/25/13,2013,0
13%,MN,HF3809,Intro,Event ticket format and transferability regulated.,4/6/16,2016,1
13%,MN,SF3463,Intro,Event tickets transferability and format regulation,4/6/16,2016,1
19%,MN,HF3809,Intro,Event ticket format and transferability regulated.,4/6/16,2016,0
19%,MN,SF3463,Intro,Event tickets transferability and format regulation,4/6/16,2016,0
19%,MN,SF3022,Intro,Resolution for the State of Minnesota to protect its citizens against unconstitutional and medically irresponsible COVID-19 vaccine mandates,2/10/22,2022,0
19%,MN,HF2348,Intro,COVID-19; a resolution protecting against unconstitutional and medically irresponsible vaccine mandates.,4/24/22,2022,0
19%,MN,SF3022,Intro,Resolution for the State of Minnesota to protect its citizens against unconstitutional and medically irresponsible COVID-19 vaccine mandates,2/10/22,2022,0
19%,MN,HF2348,Intro,COVID-19; a resolution protecting against unconstitutional and medically irresponsible vaccine mandates.,4/24/22,2022,0
24%,MO,SB516,Intro,Bans the sale of event tickets that have a credit card entry restriction to consumers without a signed acknowledgment by the consumer,3/10/15,2015,1
53%,MO,HB2715,Intro,Bans the sale of event tickets that have a credit card entry restriction to consumers without a signed acknowledgment by the consumer,4/14/16,2016,1
17%,MO,SB751,Intro,Modifies provisions relating to event tickets,4/5/16,2016,1
20%,MO,HB255,Intro,Changes the laws regarding the resale of event tickets,4/5/17,2017,1
20%,MO,SB292,Intro,Modifies provisions relating to ticket selling practices,2/1/17,2017,1
20%,MO,HB502,Engross,Modifies provisions relating to fantasy sports contests,4/20/17,2017,0
13%,MO,HB2343,Intro,Changes the laws regarding the resale of event tickets,5/18/18,2018,1
19%,MO,SR203,Intro,Memorializes a COVID-19 Vaccine Bill of Rights,4/6/21,2021,0
15%,NC,S900,Pass,Studies Act of 2010,7/22/10,2010,0
7%,NC,S897,Pass,Appropriations Act of 2010,6/30/10,2010,0
36%,NC,H308,Intro,Admission Ticket Reform Act,5/26/11,2011,1
36%,NC,H308,Intro,Admission Ticket Reform Act,5/26/11,2011,0
35%,NJ,A4347,Intro,Revises law concerning ticket sales.,11/28/11,2011,1
35%,NJ,S2901,Intro,Revises law concerning ticket sales.,5/23/11,2011,1
35%,NJ,A4347,Intro,Revises law concerning ticket sales.,11/28/11,2011,0
35%,NJ,S2901,Intro,Revises law concerning ticket sales.,5/23/11,2011,0
18%,NJ,A236,Intro,Restructures ticket sales law.,1/10/12,2012,1
